식당 ID,상호명,음식이 맛있어요 (표),2위 항목,2위 득표수 (표),2위 대비 배율 (배),득표 격차 (표),네이버 지도 링크
1063954725,수라간,1236,재료가 신선해요,665,1.86,571,https://m.place.naver.com/restaurant/1063954725
1872698812,야키토리 청월당 연남점,588,대화하기 좋아요,316,1.86,272,https://m.place.naver.com/restaurant/1872698812
1765098518,담산 신촌본점,9868,친절해요,5333,1.85,4535,https://m.place.naver.com/restaurant/1765098518
1550759699,나래함박 홍대 연남동 본점,1322,재료가 신선해요,716,1.85,606,https://m.place.naver.com/restaurant/1550759699
1681173417,하나킨,1205,기본 안주가 좋아요,651,1.85,554,https://m.place.naver.com/restaurant/1681173417
37176082,히로 연남본점,541,술이 다양해요,292,1.85,249,https://m.place.naver.com/restaurant/37176082
2004257224,산카이메,413,혼밥하기 좋아요,223,1.85,190,https://m.place.naver.com/restaurant/2004257224
2093519168,광계,163,재료가 신선해요,88,1.85,75,https://m.place.naver.com/restaurant/2093519168
38486473,타비함박,146,친절해요,79,1.85,67,https://m.place.naver.com/restaurant/38486473
1305337580,발리문,2922,인테리어가 멋져요,1591,1.84,1331,https://m.place.naver.com/restaurant/1305337580
1402516922,음무아 연남점,2104,인테리어가 멋져요,1150,1.83,954,https://m.place.naver.com/restaurant/1402516922
36909159,최사장네닭,265,가성비가 좋아요,145,1.83,120,https://m.place.naver.com/restaurant/36909159
1304764553,모모키친,199,기본 안주가 좋아요,109,1.83,90,https://m.place.naver.com/restaurant/1304764553
1642048401,라멘파이터즈,108,혼밥하기 좋아요,59,1.83,49,https://m.place.naver.com/restaurant/1642048401
38251606,마세,64,음악이 좋아요,35,1.83,29,https://m.place.naver.com/restaurant/38251606
2066992294,음미,44,재료가 신선해요,24,1.83,20,https://m.place.naver.com/restaurant/2066992294
1589227265,미스터 육회연어왕 마포점,22,가성비가 좋아요,12,1.83,10,https://m.place.naver.com/restaurant/1589227265
1008179320,양밍산,603,특별한 메뉴가 있어요,331,1.82,272,https://m.place.naver.com/restaurant/1008179320
2003785582,연남잿불,256,기본 안주가 좋아요,141,1.82,115,https://m.place.naver.com/restaurant/2003785582
864066117,긴자료코 연희점,235,양이 많아요,129,1.82,106,https://m.place.naver.com/restaurant/864066117
1272703650,센트그릴 BBQ,222,특별한 메뉴가 있어요,122,1.82,100,https://m.place.naver.com/restaurant/1272703650
1860135294,연남파도,104,친절해요,57,1.82,47,https://m.place.naver.com/restaurant/1860135294
56228015,우와 홍대본점,3581,특별한 메뉴가 있어요,1982,1.81,1599,https://m.place.naver.com/restaurant/56228015
1863875951,써니스피자마켓,2250,재료가 신선해요,1241,1.81,1009,https://m.place.naver.com/restaurant/1863875951
1146136386,무채색,1353,인테리어가 멋져요,746,1.81,607,https://m.place.naver.com/restaurant/1146136386
2000578115,숯토리 홍대합정점,1021,기본 안주가 좋아요,563,1.81,458,https://m.place.naver.com/restaurant/2000578115
38276889,합정고깃집,864,고기 질이 좋아요,478,1.81,386,https://m.place.naver.com/restaurant/38276889
1031219213,하쿠텐라멘,789,혼밥하기 좋아요,436,1.81,353,https://m.place.naver.com/restaurant/1031219213
1273730865,홍홍 합정점,587,인테리어가 멋져요,325,1.81,262,https://m.place.naver.com/restaurant/1273730865
1089981837,산스,168,재료가 신선해요,93,1.81,75,https://m.place.naver.com/restaurant/1089981837
1275931128,히츠지야 연남점,2135,친절해요,1184,1.8,951,https://m.place.naver.com/restaurant/1275931128
195609594,야키토리 묵,893,특별한 메뉴가 있어요,495,1.8,398,https://m.place.naver.com/restaurant/195609594
1576423677,피자스쿨 연희점,505,가성비가 좋아요,281,1.8,224,https://m.place.naver.com/restaurant/1576423677
1595407960,교토우마이,483,기본 안주가 좋아요,269,1.8,214,https://m.place.naver.com/restaurant/1595407960
1336106729,안짱,383,친절해요,213,1.8,170,https://m.place.naver.com/restaurant/1336106729
1400935396,고덕,229,특별한 메뉴가 있어요,127,1.8,102,https://m.place.naver.com/restaurant/1400935396
1124058036,연희단팥죽,178,친절해요,99,1.8,79,https://m.place.naver.com/restaurant/1124058036
1632776868,틈틈,27,술이 다양해요,15,1.8,12,https://m.place.naver.com/restaurant/1632776868
1209567537,가원 연남점,3824,재료가 신선해요,2133,1.79,1691,https://m.place.naver.com/restaurant/1209567537
2055043057,수수연남,2582,재료가 신선해요,1440,1.79,1142,https://m.place.naver.com/restaurant/2055043057
1679298554,연남짚,429,특별한 메뉴가 있어요,240,1.79,189,https://m.place.naver.com/restaurant/1679298554
2061264065,전정국밥,343,재료가 신선해요,192,1.79,151,https://m.place.naver.com/restaurant/2061264065
2089728518,톤토리,86,대화하기 좋아요,48,1.79,38,https://m.place.naver.com/restaurant/2089728518
18749338,형제숯불갈비,52,친절해요,29,1.79,23,https://m.place.naver.com/restaurant/18749338
1296770993,용왕포차 홍대연남점,880,메뉴 구성이 알차요,494,1.78,386,https://m.place.naver.com/restaurant/1296770993
123275931,왕왕,313,가성비가 좋아요,176,1.78,137,https://m.place.naver.com/restaurant/123275931
1674391570,연희면관,223,친절해요,125,1.78,98,https://m.place.naver.com/restaurant/1674391570
1543297676,새벽,4415,술이 다양해요,2494,1.77,1921,https://m.place.naver.com/restaurant/1543297676
1732651729,니꾸킹 버거,1076,친절해요,609,1.77,467,https://m.place.naver.com/restaurant/1732651729
1763607050,사루카메,1047,특별한 메뉴가 있어요,591,1.77,456,https://m.place.naver.com/restaurant/1763607050
1648813142,요쇼쿠야 리나,516,재료가 신선해요,291,1.77,225,https://m.place.naver.com/restaurant/1648813142
1074749296,대양장,440,재료가 신선해요,248,1.77,192,https://m.place.naver.com/restaurant/1074749296
1013534030,연남 흑돼지,241,고기 질이 좋아요,136,1.77,105,https://m.place.naver.com/restaurant/1013534030
1197935095,연남고집,200,술이 다양해요,113,1.77,87,https://m.place.naver.com/restaurant/1197935095
1290530498,연남타코 연남본점,2362,인테리어가 멋져요,1341,1.76,1021,https://m.place.naver.com/restaurant/1290530498
1655732599,메종브리크,649,특별한 메뉴가 있어요,369,1.76,280,https://m.place.naver.com/restaurant/1655732599
1627943145,우라난바,627,술이 다양해요,357,1.76,270,https://m.place.naver.com/restaurant/1627943145
1013428675,연희일공사국밥 찐심,422,재료가 신선해요,240,1.76,182,https://m.place.naver.com/restaurant/1013428675
1317238432,무쇠김치삼겹 연남점,209,고기 질이 좋아요,119,1.76,90,https://m.place.naver.com/restaurant/1317238432
36410880,에노테카오토,174,재료가 신선해요,99,1.76,75,https://m.place.naver.com/restaurant/36410880
1617109383,성립,130,술이 다양해요,74,1.76,56,https://m.place.naver.com/restaurant/1617109383
1166922529,또또,104,술이 다양해요,59,1.76,45,https://m.place.naver.com/restaurant/1166922529
1830503715,따롱이훠궈 홍대점,3491,재료가 신선해요,1994,1.75,1497,https://m.place.naver.com/restaurant/1830503715
1255182216,카마카츠,1655,양이 많아요,948,1.75,707,https://m.place.naver.com/restaurant/1255182216
1275939992,토메루,805,친절해요,459,1.75,346,https://m.place.naver.com/restaurant/1275939992
1104948459,신기루빠,664,친절해요,380,1.75,284,https://m.place.naver.com/restaurant/1104948459
1636076061,쿠보,321,인테리어가 멋져요,183,1.75,138,https://m.place.naver.com/restaurant/1636076061
2091395246,시센,226,재료가 신선해요,129,1.75,97,https://m.place.naver.com/restaurant/2091395246
1369822331,셀로나,131,인테리어가 멋져요,75,1.75,56,https://m.place.naver.com/restaurant/1369822331
1198813653,댄싱홍콩 신촌점,5148,인테리어가 멋져요,2958,1.74,2190,https://m.place.naver.com/restaurant/1198813653
911607128,홍대IN파스타,2812,가성비가 좋아요,1619,1.74,1193,https://m.place.naver.com/restaurant/911607128
1289022009,판다딤섬,1061,특별한 메뉴가 있어요,609,1.74,452,https://m.place.naver.com/restaurant/1289022009
1753469642,마스타하이볼 연남점,563,술이 다양해요,324,1.74,239,https://m.place.naver.com/restaurant/1753469642
1154345782,토쿠이,439,술이 다양해요,252,1.74,187,https://m.place.naver.com/restaurant/1154345782
1676369812,드럼통 숯불구이 연남점,164,친절해요,94,1.74,70,https://m.place.naver.com/restaurant/1676369812
2053916309,송경솥밥 연남점,82,재료가 신선해요,47,1.74,35,https://m.place.naver.com/restaurant/2053916309
1604085821,낙경,479,친절해요,277,1.73,202,https://m.place.naver.com/restaurant/1604085821
38003033,스시마쯔,147,재료가 신선해요,85,1.73,62,https://m.place.naver.com/restaurant/38003033
1830843911,늦달,38,음악이 좋아요,22,1.73,16,https://m.place.naver.com/restaurant/1830843911
1414264972,쿠로코식당 연남점,4731,인테리어가 멋져요,2755,1.72,1976,https://m.place.naver.com/restaurant/1414264972
1794723744,기요한,764,특별한 메뉴가 있어요,445,1.72,319,https://m.place.naver.com/restaurant/1794723744
1604887759,명륜진사갈비 서울 연희점,500,가성비가 좋아요,290,1.72,210,https://m.place.naver.com/restaurant/1604887759
2000759590,담연,148,인테리어가 멋져요,86,1.72,62,https://m.place.naver.com/restaurant/2000759590
1623995485,연주방 어페어,1418,친절해요,829,1.71,589,https://m.place.naver.com/restaurant/1623995485
2048731337,철판요리미로 연남본점,1290,재료가 신선해요,753,1.71,537,https://m.place.naver.com/restaurant/2048731337
1090105095,연남제비,550,고기 질이 좋아요,321,1.71,229,https://m.place.naver.com/restaurant/1090105095
2026372416,레이지프로그,503,인테리어가 멋져요,294,1.71,209,https://m.place.naver.com/restaurant/2026372416
1467566565,거북이의꿈 본점,449,특별한 메뉴가 있어요,263,1.71,186,https://m.place.naver.com/restaurant/1467566565
2063300370,덤버거 본점,389,인테리어가 멋져요,227,1.71,162,https://m.place.naver.com/restaurant/2063300370
1015300168,요쇼쿠야 코우,149,친절해요,87,1.71,62,https://m.place.naver.com/restaurant/1015300168
1506631168,월향보쌈,82,인테리어가 멋져요,48,1.71,34,https://m.place.naver.com/restaurant/1506631168
18257443,선수사,58,재료가 신선해요,34,1.71,24,https://m.place.naver.com/restaurant/18257443
